Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
5/27/2004,1114.939941,1123.949951,1114.859985,1121.280029,1447500000,9.089966,1102.673334,1116.706196,0,D
5/28/2004,1121.280029,1122.689941,1118.099976,1120.680054,1172600000,4.589965,1102.996669,1116.673398,0,U
6/1/2004,1120.680054,1122.699951,1113.319946,1121.199951,1238000000,9.380005,1103.658569,1116.901797,1,U
6/2/2004,1121.199951,1128.099976,1118.640015,1124.98999,1251700000,9.459961,1104.015712,1117.493596,0,D
6/3/2004,1124.98999,1125.310059,1116.569946,1116.640015,1232400000,8.740113,1103.877139,1117.947397,0,U
6/4/2004,1116.640015,1129.170044,1116.640015,1122.5,1115300000,12.530029,1103.923328,1118.570798,0,U
6/7/2004,1122.5,1140.540039,1122.5,1140.420044,1211800000,18.040039,1105.181902,1119.1954,0,U
6/8/2004,1140.420044,1142.180054,1135.449951,1142.180054,1190300000,6.730103,1107.252383,1119.8778,0,D
6/9/2004,1142.180054,1142.180054,1131.170044,1131.329956,1276800000,11.01001,1109.357619,1120.055,1,U
6/10/2004,1131.329956,1136.469971,1131.329956,1136.469971,1160600000,5.140015,1111.310954,1120.244399,0,D
6/14/2004,1136.469971,1136.469971,1122.160034,1125.290039,1179400000,14.309937,1112.644764,1120.226001,1,U
6/15/2004,1125.290039,1137.359985,1125.290039,1132.01001,1345900000,12.069946,1114.338577,1120.2228,0,U
6/16/2004,1132.01001,1135.280029,1130.550049,1133.560059,1168400000,4.72998,1116.141439,1120.0578,0,D
6/17/2004,1133.560059,1133.560059,1126.890015,1132.050049,1296700000,6.670044,1118.424776,1119.687402,0,U
6/18/2004,1132.050049,1138.959961,1129.829956,1135.02002,1500600000,9.130005,1120.497634,1119.424602,0,D
6/21/2004,1135.02002,1138.050049,1129.640015,1130.300049,1123900000,8.410034,1122.479539,1119.220002,0,U
6/22/2004,1130.300049,1135.050049,1124.369995,1134.410034,1382300000,10.680054,1124.632877,1119.121804,0,U
6/23/2004,1134.410034,1145.150024,1131.72998,1144.060059,1444200000,13.420044,1127.037638,1119.099006,0,D
6/24/2004,1144.060059,1146.339966,1139.939941,1140.650024,1394900000,6.400025,1129.191924,1119.323208,0,D
6/25/2004,1140.650024,1145.969971,1134.23999,1134.430054,1812900000,11.729981,1130.210019,1119.448408,0,D
6/28/2004,1134.430054,1142.599976,1131.719971,1133.349976,1354600000,10.880005,1131.086687,1119.538608,0,U
6/29/2004,1133.349976,1138.26001,1131.810059,1136.199951,1375000000,6.449951,1131.79716,1119.570408,0,U
6/30/2004,1136.199951,1144.199951,1133.619995,1140.839966,1473800000,10.579956,1132.757156,1119.670808,0,D
7/1/2004,1140.839966,1140.839966,1123.060059,1128.939941,1495700000,17.779907,1133.125727,1119.886606,0,D
7/2/2004,1128.939941,1129.150024,1123.26001,1125.380005,1085000000,5.890014,1133.144299,1119.912407,0,D
7/6/2004,1125.380005,1125.380005,1113.209961,1116.209961,1283300000,12.170044,1133.12382,1119.438005,0,U
7/7/2004,1116.209961,1122.369995,1114.920044,1118.329956,1328600000,7.449951,1132.925247,1118.992605,0,D
7/8/2004,1118.329956,1119.119995,1108.719971,1109.109985,1401100000,10.400024,1131.434291,1118.464204,0,U
7/9/2004,1109.109985,1115.569946,1109.109985,1112.810059,1186300000,6.459961,1130.03572,1117.958206,0,U
7/12/2004,1112.810059,1116.109985,1106.709961,1114.349976,1114600000,9.400024,1129.22715,1117.797004,1,U
7/13/2004,1114.349976,1116.300049,1112.98999,1115.140015,1199700000,3.310059,1128.211438,1117.822004,0,D
7/14/2004,1115.140015,1119.599976,1107.829956,1111.469971,1462000000,11.77002,1127.553339,1117.905403,1,D
7/15/2004,1111.469971,1114.630005,1106.670044,1106.689941,1408700000,7.959961,1126.347621,1117.689402,0,D
7/16/2004,1106.689941,1112.170044,1101.069946,1101.390015,1450300000,11.100098,1124.815715,1117.326201,0,D
7/19/2004,1101.390015,1105.52002,1096.550049,1100.900024,1319900000,8.969971,1123.33238,1116.913601,0,U
7/20/2004,1100.900024,1108.880005,1099.099976,1108.670044,1445800000,9.780029,1122.077619,1116.807202,0,D
7/21/2004,1108.670044,1116.27002,1093.880005,1093.880005,1679500000,22.390015,1120.343332,1116.710803,1,U
7/22/2004,1093.880005,1099.660034,1084.160034,1096.839966,1680800000,15.5,1118.554281,1116.905203,0,D
7/23/2004,1096.839966,1096.839966,1083.560059,1086.199951,1337500000,13.279907,1115.799037,1116.720203,0,D
7/26/2004,1086.199951,1089.819946,1078.780029,1084.069946,1413400000,11.039917,1113.104748,1116.456001,0,U
7/27/2004,1084.069946,1096.650024,1084.069946,1094.829956,1610800000,12.580078,1111.219029,1116.423801,0,U
7/28/2004,1094.829956,1098.839966,1082.170044,1095.420044,1554300000,16.669922,1109.412842,1116.418203,1,U
